horse,b356price,b365impp,exchangemp,exchangeimpp,normalised_prob,prob_diff
tiger roll,4.5,0.222222222,5.85,0.170940171,0.162319734,-0.059902488
anibale fly,11,0.090909091,17.5,0.057142857,0.054261168,-0.036647923
rathvinden,11,0.090909091,13,0.076923077,0.07304388,-0.017865211
vintage clouds,13,0.076923077,16.75,0.059701493,0.056690773,-0.020232304
lake view lad,15,0.066666667,18.75,0.053333333,0.050643757,-0.01602291
pleasant company,21,0.047619048,27.5,0.036363636,0.034529834,-0.013089213
step back,21,0.047619048,29.5,0.033898305,0.032188829,-0.015430219
rock the kasbah,21,0.047619048,25.5,0.039215686,0.037238057,-0.010380991
jury duty,21,0.047619048,22.5,0.044444444,0.042203131,-0.005415917
joe farrell,21,0.047619048,24.5,0.040816327,0.038757977,-0.00886107
one for arthur,26,0.038461538,33,0.03030303,0.028774862,-0.009686677
minella rocco,26,0.038461538,65,0.015384615,0.014608776,-0.023852762
walk in the mill,26,0.038461538,35,0.028571429,0.027130584,-0.011330954
up for review,26,0.038461538,65,0.015384615,0.014608776,-0.023852762
ramses de teillee,26,0.038461538,33,0.03030303,0.028774862,-0.009686677
general principle,26,0.038461538,52.5,0.019047619,0.018087056,-0.020374482
nobel endeavor,34,0.029411765,72.5,0.013793103,0.013097523,-0.016314241
the young master,34,0.029411765,57.5,0.017391304,0.016514269,-0.012897496
dounikos,34,0.029411765,52.5,0.019047619,0.018087056,-0.011324709
valtor,34,0.029411765,95,0.010526316,0.009995478,-0.019416286
ballyoptic,34,0.029411765,52.5,0.019047619,0.018087056,-0.011324709
go conquer,41,0.024390244,60,0.016666667,0.015826174,-0.00856407
folsom blue,41,0.024390244,75,0.013333333,0.012660939,-0.011729305
warriors tale,41,0.024390244,115,0.008695652,0.008257134,-0.01613311
vieux lion rouge,41,0.024390244,77.5,0.012903226,0.012252522,-0.012137722
captain redbeard,51,0.019607843,70,0.014285714,0.013565292,-0.006042551
a toi phil,51,0.019607843,90,0.011111111,0.010550783,-0.00905706
isleofhopendreams,51,0.019607843,105,0.00952381,0.009043528,-0.010564315
livelovelaugh,51,0.019607843,110,0.009090909,0.008632459,-0.010975385
singlefarmpayment,51,0.019607843,92.5,0.010810811,0.010265626,-0.009342217
valseur lido,67,0.014925373,75,0.013333333,0.012660939,-0.002264434
magic of light,67,0.014925373,160,0.00625,0.005934815,-0.008990558
mala beach,67,0.014925373,92.5,0.010810811,0.010265626,-0.004659747
ultragold,67,0.014925373,87.5,0.011428571,0.010852234,-0.004073139
regal encore,67,0.014925373,77.5,0.012903226,0.012252522,-0.002672851
monbeg notorious,67,0.014925373,75,0.013333333,0.012660939,-0.002264434
don poli,81,0.012345679,120,0.008333333,0.007913087,-0.004432592
tea for two,81,0.012345679,105,0.00952381,0.009043528,-0.003302151
outlander,81,0.012345679,140,0.007142857,0.006782646,-0.005563033
exitas,101,0.00990099,300,0.003333333,0.003165235,-0.006735755
just a par,101,0.00990099,125,0.008,0.007596564,-0.002304427
blow by blow,101,0.00990099,200,0.005,0.004747852,-0.005153138
bless the wings,101,0.00990099,175,0.005714286,0.005426117,-0.004474873
