horse,price_exc
tiger roll,5.85
anibale fly,20.5
rathvinden,10.25
vintage clouds,18.75
lake view lad,23.5
pleasant company,20.5
step back,31
rock the kasbah,25.5
jury duty,19.75
joe farrell,23.5
one for arthur,43.0
minella rocco,52.5
walk in the mill,35.0
up for review,49.0
ramses de teillee,28.5
general principle,52.5
nobel endeavor,72.5
the young master,57.5
dounikos,33
valtor,155.0
ballyoptic,57.5
go conquer,57.5
folsom blue,105.0
warriors tale,180.0
vieux lion rouge,77.5
captain redbeard,105.0
a toi phil,97.5
isleofhopendreams,105.0
livelovelaugh,125.0
singlefarmpayment,87.5
valseur lido,115.0
magic of light,190.0
mala beach,115.0
ultragold,105.0
regal encore,95.0
monbeg notorious,87.5
don poli,165.0
tea for two,62.5
outlander,185.0
exitas,300.0
just a par,260.0
blow by blow,220.0
bless the wings,210.0
